Time point: 224.0 | PatientsSeen: 1.0
Time point: 433.0 | PatientsSeen: 2.0
Time point: 642.0 | PatientsSeen: 3.0
Time point: 852.0 | PatientsSeen: 4.0
Time point: 1062.0 | PatientsSeen: 5.0
Time point: 1271.0 | PatientsSeen: 6.0
Time point: 1481.0 | PatientsSeen: 7.0
Time point: 1690.0 | PatientsSeen: 8.0
Time point: 1899.0 | PatientsSeen: 9.0
Time point: 2109.0 | PatientsSeen: 10.0
Time point: 2318.0 | PatientsSeen: 11.0
Time point: 2529.0 | PatientsSeen: 12.0
Time point: 2739.0 | PatientsSeen: 13.0
Time point: 2949.0 | PatientsSeen: 14.0
Time point: 3158.0 | PatientsSeen: 15.0
Time point: 3367.0 | PatientsSeen: 16.0
Time point: 3576.0 | PatientsSeen: 17.0
Time point: 3786.0 | PatientsSeen: 18.0
Time point: 3996.0 | PatientsSeen: 19.0
Time point: 4207.0 | PatientsSeen: 20.0
Time point: 4417.0 | PatientsSeen: 21.0
Time point: 4627.0 | PatientsSeen: 22.0
Time point: 241.0 | PatientsSeen: 1.0
Time point: 451.0 | PatientsSeen: 2.0
